Booking ID,Guest ID,Gender,Age,Property Type,City,Room Type,Booking Date,Check-in Date,Check-out Date,Stay Length (Days),Number of Guests,Price per Night,Total Cost,Discount,Final Cost,Booking Source,Payment Method,Review Score
HB_10000,GUEST_9216,Female,49,Hotel,London,Apartment,2024-12-23,2025-01-07,2025-01-13,6,4,392.34,2354.04,137.21,2216.83,Website,PayPal,2
HB_10001,GUEST_5913,Female,45,Hotel,Dubai,Studio,2024-03-26,2024-04-23,2024-04-25,2,1,94.95,189.9,10.47,179.43,App,PayPal,2
HB_10002,GUEST_3505,Male,37,Hotel,Tokyo,Suite,2023-10-07,2023-11-03,2023-11-17,14,2,84.55,1183.7,131.32,1052.38,Phone,Bank Transfer,4
HB_10003,GUEST_4459,Male,58,Airbnb,Dubai,Single,2025-04-17,2025-05-30,2025-06-13,14,2,380.15,5322.1,709.5,4612.6,Travel Agent,Credit Card,1
HB_10004,GUEST_9279,Male,22,Airbnb,New York,Studio,2023-07-27,2023-08-07,2023-08-21,14,1,255.05,3570.7,463.05,3107.65,App,Credit Card,1
HB_10005,GUEST_8791,Male,63,Hotel,Paris,Single,2024-01-17,2024-02-19,2024-03-02,12,2,369.15,4429.8,509.35,3920.45,Phone,Credit Card,1
HB_10006,GUEST_9569,Female,30,Hotel,New York,Studio,2025-02-08,2025-03-05,2025-03-13,8,4,486.92,3895.36,147.49,3747.87,App,Bank Transfer,4
HB_10007,GUEST_7370,Male,51,Hotel,London,Suite,2024-12-31,2025-02-15,2025-02-27,12,4,91.0,1092.0,14.62,1077.38,Website,PayPal,4
HB_10008,GUEST_2425,Female,39,Airbnb,Barcelona,Single,2024-06-17,2024-06-29,2024-07-11,12,5,268.01,3216.12,201.83,3014.29,Phone,PayPal,1
HB_10009,GUEST_2345,Female,55,Airbnb,New York,Double,2025-02-24,2025-02-25,2025-03-06,9,4,120.95,1088.55,36.14,1052.41,App,Bank Transfer,1
HB_10010,GUEST_9109,Male,78,Hotel,Dubai,Double,2023-09-22,2023-11-03,2023-11-16,13,1,490.72,6379.36,1047.89,5331.47,Website,Bank Transfer,3
HB_10011,GUEST_8740,Male,54,Hotel,Sydney,Suite,2024-09-19,2024-10-06,2024-10-11,5,3,216.87,1084.35,66.84,1017.51,App,PayPal,5
HB_10012,GUEST_4541,Male,43,Hotel,Tokyo,Double,2024-12-02,2025-01-11,2025-01-18,7,3,391.71,2741.97,480.09,2261.88,App,PayPal,4
HB_10013,GUEST_2638,Male,59,Airbnb,Tokyo,Apartment,2024-04-12,2024-05-26,2024-06-05,10,2,75.39,753.9,54.1,699.8,Phone,PayPal,3
HB_10014,GUEST_8946,Male,70,Hotel,Dubai,Single,2023-09-19,2023-10-13,2023-10-25,12,2,305.41,3664.92,72.44,3592.48,Website,Bank Transfer,5
HB_10015,GUEST_9622,Male,20,Airbnb,Paris,Suite,2024-03-10,2024-04-27,2024-04-29,2,1,271.2,542.4,66.64,475.76,App,Credit Card,4
HB_10016,GUEST_9979,Male,52,Hotel,Tokyo,Single,2023-10-10,2023-11-18,2023-11-25,7,4,275.83,1930.81,278.81,1652.0,Website,PayPal,2
HB_10017,GUEST_2815,Female,41,Airbnb,London,Double,2024-04-05,2024-05-30,2024-06-09,10,2,261.62,2616.2,458.62,2157.58,App,Bank Transfer,1
HB_10018,GUEST_4941,Male,44,Airbnb,New York,Suite,2024-10-25,2024-11-23,2024-11-26,3,1,202.8,608.4,72.27,536.13,Travel Agent,PayPal,5
HB_10019,GUEST_6795,Male,49,Hotel,Paris,Apartment,2023-07-30,2023-08-26,2023-08-29,3,5,186.42,559.26,85.29,473.97,App,Bank Transfer,3
